question,answer,explanation,a,b,c,d,e,f,source
"In the context of historical underpinnings of 
the Indian constitution, which of the 
following Acts introduced ordinances for the 
first time? 
(a) Indian Councils Act of 1892 
(b) Indian Councils Act of 1861 
(c) Government of India Act of 1919 
(d) Government of India Act of 1909",b,"• 
After the great revolt of 1857, the British Government felt the necessity of seeking the cooperation of the 
Indians in the administration of their country. In pursuance of this policy of association, three acts were 
enacted by the British Parliament in 1861, 1892 and 1909. The Indian Councils Act of 1861 is an 
important landmark in the constitutional and political history of India. 
• 
The features of this Act were as follows 
o 
It made the beginning of the representative institutions by associating Indians with the law-making 
process. It, thus, provided that the Viceroy should nominate some Indians as non-official members 
of his expanded council. In 1862, Lord Canning, the then Viceroy, nominated three Indians to his 
legislative council–the Raja of Benaras, the Maharaja of Patiala and Sir Dinkar Rao. 
o 
It initiated the process of decentralization by restoring the legislative powers to the Bombay and 
Madras Presidencies. 
o 
It also provided for the establishment of new legislative councils for Bengal, North-Western 
Provinces and Punjab, which were established in 1862, 1886 and 1897, respectively. 
o 
It empowered the Viceroy to make rules and orders for the more convenient transaction of business in 
the council. It also gave recognition to the ‘portfolio’ system, introduced by Lord Canning in 
1859. Under this, a member of the Viceroy’s council was made in-charge of one or more departments 
of the Government and was authorised to issue final orders on behalf of the council on matters of his 
department(s). 
o 
It empowered the Viceroy to issue ordinances, without the concurrence of the legislative council, 
during an emergency. 
• 
Hence option (b) is the correct answer.",Indian Councils Act of 1892 ,Indian Councils Act of 1861 ,Government of India Act of 1919 ,Government of India Act of 1909 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"The directive principles of State policy laid 
down in Part IV of the Constitution cannot in 
any way override or abridge the fundamental 
rights guaranteed by Part III. On the other 
hand, they have to conform to and run as 
subsidiaries to the fundamental rights laid 
down in Part III. But, the Fundamental 
Rights could be amended by the Parliament 
by enacting constitutional amendment acts.   
In which of the following cases did the 
Supreme Court hold this opinion?  
(a) Champakam Dorairajan case (1951)  
(b) Golaknath case (1967)  
(c) Keshavananda Bharti case (1973)  
(d) Minerva Mills case (1980)",a,"• 
In the Champakam Dorairajan case (1951), the Supreme Court ruled that the directive principles of 
State policy laid down in Part IV of the Constitution cannot in any way override or abridge the 
fundamental rights guaranteed by Part III. On the other hand, they have to conform to and run as 
subsidiaries to the fundamental rights laid down in Part III. But, it also held that Fundamental 
Rights could be amended by the Parliament by enacting constitutional amendment acts.  
• 
As a result, the Parliament made the First Amendment Act (1951), the Fourth Amendment Act (1955), 
and the Seventeenth Amendment Act (1964) to implement some of the Directives. 
• 
The above situation underwent a major change in 1967 following the Supreme Court’s judgement in 
the Golaknath case (1967). In that case, the Supreme Court ruled that the Parliament cannot take away or 
abridge any of the Fundamental Rights, which are ‘sacrosanct’ in nature. In other words, the Court held 
that the Fundamental Rights cannot be amended for the implementation of the Directive Principles. 
• 
In the Kesavananda Bharati case (1973), the Supreme Court declared the above second provision of 
Article 31C as unconstitutional and invalid on the ground that judicial review is a basic feature of the 
Constitution and hence, cannot be taken away. 
• 
In the Minerva Mills case (1980), the Supreme Court also held that ‘the Indian Constitution is founded 
on the bedrock of the balance between the Fundamental Rights and the Directive Principles. They together 
constitute the core of the commitment to social revolution. They are like two wheels of a chariot, one no 
less than the other. To give absolute primacy to one over the other is to disturb the harmony of the 
Constitution. This harmony and balance between the two is an essential feature of the basic structure of 
the Constitution. 
• 
Hence, option (a) is the correct answer. 
 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
6                                                                              www.visionias.in                                                   ©Vision IAS",Champakam Dorairajan case (1951)  ,Golaknath case (1967)  ,Keshavananda Bharti case (1973)  ,Minerva Mills case (1980)  ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the seventh schedule of the 
Indian constitution, consider the following 
pairs: 
Subject 
 
List 
1. Banking 
: Concurrent 
2. Agriculture  
: State 
3. Trade Unions 
: Union 
How many pairs given above are correctly 
matched? 
(a) None of the pairs 
(b) Only one pair 
(c) Only two pairs 
(d) All three pairs",b,"• 
The Constitution divided the powers between the Centre and the states in terms of the Union List, State 
List and Concurrent List in the Seventh Schedule. 
o 
The Union List consists of 98 subjects (originally 97), the State List 59 subjects (originally 66) and 
the Concurrent List 52 subjects (originally 47). 
o 
Both the Centre and the states can make laws on the subjects of the concurrent list, but in case of a 
conflict, the Central law prevails. The residuary subjects (ie, which are not mentioned in any of the 
three lists) are given to the Centre. 
• 
Important subjects as distributed in seventh schedule 
 
• 
Hence option (b) is the correct answer.",None of the pairs ,Only one pair ,Only two pairs ,All three pairs ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In which of the following judgments, 
Supreme Court held that the harmony and 
balance between Fundamental rights and 
Directive principles of State policy is part of 
basic structure? 
(a) Bhim Singhji Case 
(b) Indira Sawhney Case 
(c) Minerva Mills case 
(d) Kihoto Hollohon Case",c,"• 
In the Minerva Mills case (1980), the Supreme Court provided key clarifications on the interpretation of 
the basic structure doctrine. The court ruled that the power of the parliament to amend the constitution is 
limited by the constitution. 
o 
Hence the parliament cannot exercise this limited power to grant itself unlimited power. In addition, a 
majority of the court also held that the parliament's power to amend is not a power to destroy. 
• 
The ruling struck down clause 4 and 5 of the Constitution (Forty-second Amendment) Act, 1976. Clause 
4 gave precedence to directive principles of state policy over fundamental rights. Supreme court 
struck down this provision and said that harmony and balance between fundamental rights 
directive principles is part of basic structure of the constitution. Clause 5 gave unlimited power to 
parliament to amend the constitution and this was also struck down by supreme court deeming it to be 
destroying the basic structure of the constitution.  
• 
Hence option (c) is the correct answer.",Bhim Singhji Case ,Indira Sawhney Case ,Minerva Mills case ,Kihoto Hollohon Case ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With 
reference 
to 
'Bose-Einstein 
Condensate', often termed as the fifth state 
of matter, which of the following statements 
is/are correct? 
1. Its existence was posited by Albert 
Einstein and Indian physicist Jagadish 
Chandra Bose. 
2. It is formed when atoms of certain 
elements are heated to near critical 
temperature. 
3. It can be used in creation of atomic 
lasers and atomic clocks. 
Select the correct answer using the code 
given below. 
(a) 1 and 2 only 
(b) 3 only 
(c) 2 and 3 only 
(d) 1, 2 and 3 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
5                                                             www.visionias.in                                                                                      ©Vision IAS",b,"• 
A Bose-Einstein condensate (BECs) is so named because its existence was posited almost a century ago 
by Albert Einstein and Indian mathematician Satyendra Nath Bose. It is often termed as fifth state of 
matter. Hence, statement 1 is not correct. 
• 
It exists when atoms of certain elements are cooled to temperatures near absolute zero. At that point, 
clusters of atoms begin functioning as a single quantum object with both wave and particle 
properties. Hence, statement 2 is not correct. 
• 
 BECs have also been used to create atom lasers, atomic clocks and gravitational, rotational or 
magnetic sensors with excellent sensitivity. Hence, statement 3 is correct. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
7                                                                              www.visionias.in                                                   ©Vision IAS",1 and 2 only ,3 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
respect to freedom from taxation for the 
promotion of a religion: 
1. State should not spend the money 
collected by way of tax for the 
promotion of any particular religion. 
2. This provision prohibits the levy of a tax 
and 
fee 
to 
control 
the 
secular 
administration of religious institutions. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
Right to  freedom of  Religion (Articles 25 to 28) 
o 
Freedom from Taxation for the Promotion of a Religion under Article 27 lays down that no 
person shall be compelled to pay any taxes for the promotion or maintenance of any particular 
religion or religious denomination.  
o 
In other words, the State should not spend the public money collected by way of tax for the 
promotion or maintenance of any particular religion. Hence, statement 1 is correct. 
o 
This provision prohibits the State from favouring, patronising and supporting one religion over the 
other. This means that taxes can be used for the promotion or maintenance of all religions.  
o 
This provision prohibits only the levy of a tax and not a fee. This is because the purpose of a fee 
is to control the secular administration of religious institutions and not to promote or maintain 
the religion. Hence, statement 2 is not correct. 
o 
Thus, a fee can be levied on pilgrims to provide them with some special service or safety measures. 
Similarly, a fee can be levied on religious endowments for meeting the regulation expenditure.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following statements is/are 
correct with regard to the consequences of 
the proclamation of a Financial Emergency? 
1. Centre acquires full control over the 
states in financial matters. 
2. President may reserve all money bills or 
other financial bills for consideration 
after they are passed by the legislature of 
the state. 
3. President may issue directions for the 
reduction of salaries and allowances of 
the judges of the Supreme Court and the 
high court. 
Select the correct answer using the code 
given below. 
(a) 1 only 
(b) 1 and 2 only 
(c) 2 and 3 only 
(d) 1, 2 and 3",d,"• 
Article 360 empowers the president to proclaim a FinancialEmergency if he is satisfied that a situation has 
arisen due to which the financial stability or credit of India or any part of its territory is threatened.  
• 
The consequences of the proclamation of a Financial Emergency are as follows: 
o 
The executive authority of the Centre extends to the giving of 
▪ 
directions to any state to observe such canons of financial propriety as may be specified in the 
directions, and 
▪ 
such other directions to any state as the President may deem necessary and adequate for the 
purpose.  
o 
Any such direction may include a provision requiring 
▪ 
the reduction of salaries and allowances of all or any class of persons serving in the state; and 
▪ 
the reservation of all money bills or other financial bills for the consideration of the 
President after they are passed by the legislature of the state. Hence statement 2 is correct. 
o 
The President may issue directions for the reduction of salaries and allowances of 
▪ 
all or any class of persons serving the Union; and 
▪ 
the judges of the Supreme Court and the high court. Hence statement 3 is correct. 
o 
Thus, during the operation of a financial emergency, the Centre acquires full control over the states 
in financial matters. Hence statement 1 is correct.",1 only ,1 and 2 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following has the power to 
admit a new state into the Union of India? 
(a) Parliament 
(b) President 
(c) Union Government 
(d) Supreme Court",a,"• 
Article 3 authorizes the Parliament to: 
o 
form a new state by separation of territory from any state or by uniting two or more states or parts of 
states or by uniting any territory to a part of any state 
o 
increase the area of any state 
o 
diminish the area of any state 
o 
alter the boundaries of any state 
o 
alter the name of any state 
• 
Admission of new states is not permitted under article 3 of the constitution. It is allowed under 
Article 2 of the constitution which empowers the Parliament to ‘admit into the Union of India, or 
establish, new states on such terms and conditions as it thinks fit’. 
o 
Thus, Article 2 grants two powers to the Parliament: 
▪ 
the power to admit into the Union of India new states. Hence option (a) is the correct 
answer. 
▪ 
the power to establish new states. 
• 
The first refers to the admission of states which are already in existence, while the second refers to the 
establishment of states which were not in existence before.",Parliament ,President ,Union Government ,Supreme Court ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following are the advantages of 
parliamentary democracy? 
1. Responsible Government 
2. Wide Representation 
3. Strict Separation of powers 
4. Harmony 
Between 
Legislature 
and 
Executive 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 3 only 
(b) 2, 3, and 4 only 
(c) 1 and 4 only 
(d) 1, 2 and 4 only",d,"• 
Modern democratic governments are classified into parliamentary and presidential on the basis of nature 
of relations between the executive and the legislative organs of the government. 
o 
The parliamentary system of government is one in which the executive is responsible to the legislature 
for its policies and acts. The presidential system of government, on the other hand, is one in which the 
executive is not responsible to the legislature for its policies and acts, and is constitutionally 
independent of the legislature in respect of its term of office. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
8                                                                              www.visionias.in                                                   ©Vision IAS  
• 
Advantages of the Parliamentary System 
o 
Harmony Between Legislature and Executive 
▪ 
The greatest advantage of the parliamentary system is that it ensures harmonious relationship and 
cooperation between the legislative and executive organs of the government. The executive is a 
part of the legislature and both are interdependent at work. 
o 
Responsible Government 
▪ 
By its very nature, the parliamentary system establishes a responsible government. The ministers 
are responsible to the Parliament for all their acts of omission and commission. The Parliament 
exercises control over the ministers through various devices like question hour, discussions, 
adjournment motion, no confidence motion. 
o 
Ready Alternative Government 
▪ 
In case the ruling party loses its majority, the Head of the State can invite the opposition party to 
form the government. This means an alternative government can be formed without fresh 
elections. Hence, Dr. Jennings says, ‘the leader of the opposition is the alternative prime 
minister’. 
o 
Wide Representation 
▪ 
In a parliamentary system, the executive consists of a group of individuals (i.e., ministers who are 
representatives of the people). Hence, it is possible to provide representation to all sections and 
regions in the government. The prime minister while selecting his ministers can take this factor 
into consideration. 
o 
Prevents Despotism. 
• 
Demerits of the parliamentary system 
o 
Continuity of Policies 
▪ 
The parliamentary system is not conducive to the formulation and implementation of long-term 
policies. This is due to the uncertainty of the tenure of the government. A change in the ruling 
party is usually followed by changes in the policies of the government. 
o 
Unstable Government 
o 
Dictatorship of the Cabinet 
o 
Against strict separation of powers 
o 
Government by Amateurs 
• 
Hence option (d) is the correct answer.","1, 2 and 3 only ","2, 3, and 4 only ",1 and 4 only ,"1, 2 and 4 only ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following provisions of the 
constitution ensure political equality? 
1. Elections based on adult suffrage. 
2. Abolition of titles. 
3. No ineligibility for inclusion in electoral 
rolls on grounds of religion, race, caste, 
or sex. 
Select the correct answer using the code 
given below. 
(a) 1 and 3 only  
(b) 1 and 2 only 
(c) 1, 2 and 3 
(d) 3 only 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
6  
 www.visionias.in  
 ©Vision IAS",a,"• 
Equality  
o 
The term ‘equality’ means the absence of special privileges to any section of society and the provision 
of adequate opportunities for all individuals without any discrimination. The Preamble secures all 
citizens of India equality of status and opportunity. This provision embraces three dimensions of 
equality–civic, political, and economic.  
o 
There are some provisions in the Constitution that seek to achieve political equality. 
▪ 
No person is to be declared ineligible for inclusion in electoral rolls on grounds of religion, race, 
caste, or sex (Article 325). Hence, statement 3 is correct. 
▪ 
Elections to the Lok Sabha and the state assemblies were to be on the basis of adult suffrage 
(Article 326). Hence, statement 1 is correct. 
o 
The following provisions of the chapter on Fundamental Rights ensure civic equality:  
▪ 
Prohibition of discrimination on grounds of religion, race, caste, sex, or place of birth 
(Article 15).  
▪ 
Equality of opportunity in matters of public employment (Article 16). 
▪ 
Abolition of untouchability (Article 17).  
▪ 
Abolition of titles (Article 18). Hence, statement 2 is not correct.",1 and 3 only  ,1 and 2 only ,"1, 2 and 3 ",3 only ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding
the amendment procedure of the constitution
of India:",d,"• 
The procedure for the amendment of the Constitution as laid down in Article 368 is as follows: 
o 
An amendment of the Constitution can be initiated only by the introduction of a bill for the purpose in 
either the House of Parliament not in the state legislatures. 
o 
The bill can be introduced either by a minister or by a private member and does not require 
prior permission of the president. A nominated member of the Lok sabha can be a minister or a 
private member. Hence statement 1 is not correct. 
o 
The bill must be passed in each House by a special majority, that is, a majority of the total 
membership of the House and a majority of two-thirds of the members of the House present and 
voting. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
9                                                                              www.visionias.in                                                   ©Vision IAS  
o 
Each House must pass the bill separately. In case of a disagreement between the two Houses, there is 
no provision for holding a joint sitting of the two Houses for the purpose of deliberation and passage 
of the bill. 
o 
If the bill seeks to amend the federal provisions of the Constitution, it must also be ratified by 
the legislatures of half of the states by a simple majority, that is, a majority of the members of 
the House present and voting. Hence statement 2 is not correct. 
o 
After duly passed by both Houses of Parliament and ratified by the state legislatures, where necessary, 
the bill is presented to the president for assent. 
o 
The president must give his assent to the bill. He can neither withhold his assent to the bill nor return 
the bill for reconsideration of the Parliament. 
o 
After the president’s assent, the bill becomes an Act (i.e., a constitutional amendment act) and the 
Constitution stands amended in accordance with the terms of the Act.",,,,,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
